location,size,bhk,floors,furnishing,price
Nipania,600,1,3,Unfurnished,7860000
Nipania,1200,2,Ground,Unfurnished,10830000
Nipania,1000,3,4,Furnished,25410000
Nipania,1200,3,4,Unfurnished,19270000
Nipania,600,1,3,Furnished,11940000
Nipania,500,1,2,Unfurnished,5800000
Nipania,1200,2,3,Semi Furnished,19020000
Nipania,1500,2,2,Semi Furnished,20630000
Nipania,1000,2,4,Unfurnished,15330000
Nipania,750,1,3,Semi Furnished,11320000
Nipania,500,1,4,Semi Furnished,8550000
Nipania,1500,3,3,Unfurnished,21610000
Nipania,1500,3,1,Semi Furnished,18310000
Nipania,1500,2,2,Furnished,26300000
Nipania,600,1,3,Semi Furnished,9060000
Nipania,500,1,4,Furnished,11550000
Nipania,500,1,1,Furnished,6750000
Nipania,500,1,1,Semi Furnished,5550000
Nipania,600,1,4,Unfurnished,8760000
Nipania,750,1,4,Unfurnished,10950000
Nipania,750,1,1,Semi Furnished,8320000
Nipania,1200,3,2,Furnished,22040000
Nipania,750,1,2,Unfurnished,8700000
Nipania,1000,2,3,Furnished,20890000
Nipania,750,2,1,Furnished,10630000
Nipania,750,2,Ground,Semi Furnished,7160000
Nipania,1500,2,1,Furnished,21260000
Nipania,600,1,1,Semi Furnished,6660000
Nipania,1000,3,2,Unfurnished,12760000
Nipania,750,2,4,Furnished,18190000
Nipania,500,1,Ground,Furnished,5150000
Nipania,500,1,2,Furnished,8350000
Silicon City,1000,1,2,Semi Furnished,11460000
Silicon City,1500,2,1,Furnished,18680000
Silicon City,500,1,1,Semi Furnished,4730000
Silicon City,1000,1,1,Unfurnished,8460000
Silicon City,750,1,4,Semi Furnished,11590000
Silicon City,600,1,4,Semi Furnished,9270000
Silicon City,1500,2,2,Semi Furnished,18050000
Silicon City,500,1,Ground,Furnished,4330000
Silicon City,1500,3,4,Unfurnished,21380000
Silicon City,1200,3,3,Furnished,24100000
Silicon City,1000,3,4,Semi Furnished,17000000
Silicon City,600,1,Ground,Furnished,5190000
Silicon City,1200,3,3,Unfurnished,15120000
Silicon City,1500,3,4,Semi Furnished,25510000
Silicon City,500,1,3,Unfurnished,5730000
